epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,1490.25,1.06569,0.40273,0.00443,0.99181,0.96503,0.99389,0.7335,0.95196,0.2782,0.00457,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,1536.29,1.08217,0.41604,0.00444,0.97217,0.9771,0.99285,0.75463,0.8991,0.26746,0.00424,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,1582.91,1.09208,0.40942,0.00446,0.98257,0.98549,0.9935,0.75944,0.89378,0.265,0.00426,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,1629.38,1.06151,0.41164,0.00437,0.98529,0.98951,0.99437,0.75177,0.90081,0.2819,0.0043,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,1675.69,1.07924,0.39121,0.00432,0.9777,0.98951,0.9943,0.74813,0.93115,0.26431,0.00434,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,1722.38,1.06763,0.39646,0.00426,0.98228,0.97203,0.99396,0.73861,0.95923,0.28635,0.00478,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,1769,1.05913,0.39615,0.00429,0.98178,0.98252,0.99296,0.74635,0.91435,0.26967,0.00431,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,1815.63,1.06078,0.38725,0.00424,0.97199,0.97902,0.99343,0.74867,0.89898,0.26962,0.00414,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,1862.21,1.04356,0.39045,0.00416,0.97626,0.97552,0.99371,0.75464,0.91256,0.2859,0.00432,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,1908.61,1.0517,0.38483,0.0042,0.99644,0.97792,0.99448,0.75131,0.90825,0.25201,0.00418,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,1955.07,1.04353,0.3728,0.00423,0.97906,0.97552,0.99384,0.74617,0.93608,0.28745,0.00446,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,2001.57,1.04234,0.37607,0.00417,0.96788,0.98601,0.9937,0.74053,0.93907,0.27545,0.00428,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,2047.88,1.03782,0.38324,0.00409,0.95762,0.98252,0.99228,0.74718,0.93767,0.29053,0.0044,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,2094.39,1.03364,0.3802,0.00412,0.99285,0.97042,0.99445,0.76,0.90482,0.24799,0.00409,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,2140.73,1.03762,0.3803,0.00401,0.95277,0.98747,0.99259,0.7511,0.89989,0.28542,0.00417,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,2186.96,1.03151,0.36299,0.00417,0.98262,0.98838,0.99429,0.76066,0.89932,0.26779,0.00416,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,2233.12,1.03289,0.36828,0.00413,0.97253,0.9965,0.9943,0.7391,0.92245,0.25404,0.00422,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,2279.34,1.02147,0.37338,0.00419,0.97847,0.99301,0.99426,0.74941,0.90031,0.27956,0.00404,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,2325.78,1.02384,0.36823,0.0041,0.97939,0.98951,0.9944,0.75774,0.89605,0.26932,0.00418,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,2372.19,1.01102,0.36183,0.00404,0.98113,0.98951,0.99394,0.74805,0.90991,0.26674,0.00413,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,2418.64,0.99199,0.3599,0.00395,0.97673,0.99301,0.99426,0.75323,0.90566,0.25678,0.00404,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
