epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,8108.86,0.99548,0.59677,0.01084,0.97301,0.97633,0.98789,0.77577,0.83498,0.27292,0.01338,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,8329.45,0.99258,0.59721,0.01084,0.97233,0.97682,0.98843,0.77263,0.83758,0.27744,0.01341,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,8545.12,0.99321,0.58741,0.01084,0.97414,0.97822,0.98999,0.78149,0.83322,0.27446,0.01333,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,8761.52,0.98246,0.58556,0.01074,0.97387,0.979,0.98872,0.77609,0.83468,0.27371,0.01333,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,8977.24,0.98715,0.58687,0.01081,0.97085,0.98002,0.98827,0.77621,0.83284,0.27262,0.01329,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,9193.82,0.97871,0.58445,0.01066,0.97535,0.9796,0.98981,0.7825,0.82729,0.27049,0.01322,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,9410.25,0.98146,0.5875,0.01073,0.97947,0.97604,0.9891,0.78162,0.83099,0.27234,0.01329,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,9670.27,0.98109,0.58045,0.01067,0.97514,0.97546,0.98882,0.78188,0.83024,0.27291,0.01323,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,9908.55,0.97821,0.582,0.01065,0.97661,0.97646,0.98944,0.78134,0.8242,0.27067,0.01318,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,10156.9,0.97386,0.57432,0.01061,0.97487,0.97826,0.98897,0.7822,0.82396,0.27143,0.01318,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,10405.3,0.9766,0.58099,0.01068,0.9771,0.9795,0.99033,0.78282,0.82292,0.26852,0.01316,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,10651.8,0.96985,0.58068,0.01061,0.97695,0.97617,0.98996,0.78387,0.82287,0.27163,0.01313,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,10899,0.97098,0.5742,0.01057,0.97571,0.97753,0.99018,0.78379,0.82248,0.26888,0.01313,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,11146.7,0.96448,0.57022,0.01045,0.97515,0.98205,0.99046,0.78353,0.82273,0.26952,0.01313,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,11469.5,0.96292,0.56676,0.01051,0.97789,0.98065,0.99032,0.78279,0.82087,0.26804,0.01309,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,11833.9,0.96464,0.56403,0.01051,0.97478,0.97689,0.98939,0.7848,0.81904,0.2706,0.01307,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,12194.6,0.9597,0.56135,0.01043,0.97567,0.97821,0.99037,0.78631,0.81866,0.26732,0.01305,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
